"#","Clubs","Matchs","Essais","Transf.","Drops","Pénalites","Total points"
"1","Stade Toulousain",2,7,5,0,8,69
"2","Racing 92",2,8,5,0,6,68
"3","CA Brive",2,4,3,0,12,62
"4","Section Paloise",2,5,3,0,8,59
"5","ASM Clermont",2,6,4,0,4,52
"6","Stade Rochelais",2,4,4,0,8,52
"7","RC Toulon",2,2,1,1,6,51
"8","SU Agen",2,4,2,1,6,45
"9","Aviron Bayonnais",2,5,4,0,3,44
"10","Castres Olympique",2,3,3,0,7,42
"11","Montpellier Hérault Rugby",2,4,4,0,4,40
"12","LOU Rugby",2,3,2,1,5,37
"13","Union Bordeaux-Bègles",1,2,0,0,5,25
"14","Stade Français Paris",1,1,1,0,5,22
"Total","",26,58,41,3,87,668
