"Clubs","variable","value"
"ASM Clermont","Essais
Par match",59.4590892258486
"ASM Clermont","Trans.
Par match",56.8138514386925
"ASM Clermont","Drops
Par match",44.967637202598
"ASM Clermont","Pénalités
Par match",38.6747909866048
"ASM Clermont","Points
Par match",50.9170300224641
"Aviron Bayonnais","Essais
Par match",53.7013827405495
"Aviron Bayonnais","Trans.
Par match",56.8138514386925
"Aviron Bayonnais","Drops
Par match",44.967637202598
"Aviron Bayonnais","Pénalités
Par match",34.8076464454454
"Aviron Bayonnais","Points
Par match",43.0164636750812
"CA Brive","Essais
Par match",47.9436762552503
"CA Brive","Trans.
Par match",50
"CA Brive","Drops
Par match",44.967637202598
"CA Brive","Pénalités
Par match",69.6119473158796
"CA Brive","Points
Par match",60.7927379566927
"Castres Olympique","Essais
Par match",42.1859697699511
"Castres Olympique","Trans.
Par match",50
"Castres Olympique","Drops
Par match",44.967637202598
"Castres Olympique","Pénalités
Par match",50.2762246100828
"Castres Olympique","Points
Par match",41.0413220882355
"LOU Rugby","Essais
Par match",42.1859697699511
"LOU Rugby","Trans.
Par match",43.1861485613075
"LOU Rugby","Drops
Par match",68.4519969238072
"LOU Rugby","Pénalités
Par match",42.5419355277641
"LOU Rugby","Points
Par match",36.1034681211211
"Montpellier Hérault Rugby","Essais
Par match",47.9436762552503
"Montpellier Hérault Rugby","Trans.
Par match",56.8138514386925
"Montpellier Hérault Rugby","Drops
Par match",44.967637202598
"Montpellier Hérault Rugby","Pénalités
Par match",38.6747909866048
"Montpellier Hérault Rugby","Points
Par match",39.0661805013897
"Racing 92","Essais
Par match",70.974502196447
"Racing 92","Trans.
Par match",63.6277028773849
"Racing 92","Drops
Par match",44.967637202598
"Racing 92","Pénalités
Par match",46.4090800689235
"Racing 92","Points
Par match",66.7181627172299
"RC Toulon","Essais
Par match",36.428263284652
"RC Toulon","Trans.
Par match",36.3722971226151
"RC Toulon","Drops
Par match",68.4519969238072
"RC Toulon","Pénalités
Par match",46.4090800689235
"RC Toulon","Points
Par match",49.9294592290412
"Section Paloise","Essais
Par match",53.7013827405495
"Section Paloise","Trans.
Par match",50
"Section Paloise","Drops
Par match",44.967637202598
"Section Paloise","Pénalités
Par match",54.1433691512422
"Section Paloise","Points
Par match",57.8300255764241
"Stade Français Paris","Essais
Par match",36.428263284652
"Stade Français Paris","Trans.
Par match",43.1861485613075
"Stade Français Paris","Drops
Par match",44.967637202598
"Stade Français Paris","Pénalités
Par match",61.8776582335609
"Stade Français Paris","Points
Par match",43.0164636750812
"Stade Rochelais","Essais
Par match",47.9436762552503
"Stade Rochelais","Trans.
Par match",56.8138514386925
"Stade Rochelais","Drops
Par match",44.967637202598
"Stade Rochelais","Pénalités
Par match",54.1433691512422
"Stade Rochelais","Points
Par match",50.9170300224641
"Stade Toulousain","Essais
Par match",65.2167957111478
"Stade Toulousain","Trans.
Par match",63.6277028773849
"Stade Toulousain","Drops
Par match",44.967637202598
"Stade Toulousain","Pénalités
Par match",54.1433691512422
"Stade Toulousain","Points
Par match",67.7057335106528
"SU Agen","Essais
Par match",47.9436762552503
"SU Agen","Trans.
Par match",43.1861485613075
"SU Agen","Drops
Par match",68.4519969238072
"SU Agen","Pénalités
Par match",46.4090800689235
"SU Agen","Points
Par match",44.004034468504
"Union Bordeaux-Bègles","Essais
Par match",47.9436762552503
"Union Bordeaux-Bègles","Trans.
Par match",29.5584456839226
"Union Bordeaux-Bègles","Drops
Par match",44.967637202598
"Union Bordeaux-Bègles","Pénalités
Par match",61.8776582335609
"Union Bordeaux-Bègles","Points
Par match",48.9418884356184
